n,canal,url,estado,motivo,frames,muestreo_s,negro_%,congelado_s,check_s,ffmpeg_rc,timed_out
74,NG Federal (720p),http://www.coninfo.net:1935/tvlink/live/playlist.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,14.9,2880417800,False
75,Panc TV (720p) [Not 24/7],https://panel.host-live.com:19360/20004/20004.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,9.5,3419392776,False
76,Power Max Radio TV (720p),https://videostream.shockmedia.com.ar:19360/radio1045/radio1045.m3u8,ok,,375,15.0,0.0,0.0,7.0,0,False
77,Radio Conexion Web TV (720p),https://tuvideoonline.com.ar:3391/live/radioconexionlive.m3u8,ok,,450,15.0,0.0,0.0,19.5,0,False
78,Radio Realpolitik (720p),https://vivo.solumedia.com:19360/realpolitik/realpolitik.m3u8,ok,,450,15.0,0.0,0.0,12.0,0,False
79,Radio Sublime Gracia TV (720p),https://5f700d5b2c46f.streamlock.net/sublime/sublime/playlist.m3u8,ok,,375,15.0,0.0,0.0,8.8,0,False
80,Radio TV Neuquén (720p) [Not 24/7],https://media.neuquen.gov.ar/rtn/television/playlist.m3u8,ok,,450,15.0,0.0,0.0,3.6,0,False
81,Radio Yguazú TV (480p),https://live.enhdtv.com:8081/radioiguazutv/index.m3u8,ok,,375,15.0,0.0,0.0,7.0,0,False
82,Radiocanal San Francisco (1080p),http://204.199.3.2/.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,2.7,2880417800,False
83,RTN (Neuquén) (720p) [Not 24/7],https://media.neuquen.gov.ar/rtn/television/media.m3u8,ok,,450,15.0,0.0,0.0,4.1,0,False
84,San Pedro TV (1080p) [Not 24/7],https://iptv.ixfo.com.ar:30443/live/sanpedrotv/playlist.m3u8,ok,,375,15.0,0.0,0.0,5.2,0,False
85,Sicardi TV (720p),https://vivo.solumedia.com:19360/sicarditv/sicarditv.m3u8,ok,,375,15.0,0.0,0.0,7.3,0,False
86,Tele Posadas (720p),https://live20.bozztv.com/giatv/giatv-teleposadaso01/teleposadaso01/playlist.m3u8,ok,,450,15.0,0.0,0.0,11.5,0,False
87,TeleCinco Trelew (240p),https://videohd.live:19360/8016/8016.m3u8,ok,,450,15.0,0.0,0.0,10.1,0,False
88,Telefe Rosario [Geo-blocked],https://cdn-cirion01.sensa.com.ar/output/ARR2/TelefeRosarioH/playlist.m3u8,fail,no abre/no decodifica: Failed to resolve hostname cdn-cirion01.sensa.com.ar: The name does not resolve for the supplied parameters,0,0.0,0.0,0.0,1.5,4294967291,False
89,Telemax,https://stream-gtlc.telecentro.net.ar/hls/telemaxhls/main.m3u8,ok,,375,15.0,0.0,0.0,4.9,0,False
90,Telenord (720p) [Not 24/7],https://617c5175c970b.streamlock.net:4444/previsoratv/live/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,7.6,3419392776,False
